City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Vila,PT,2020-08-29 17:38:30,42.03,-8.16,64.0,59,43,8.01
102,Dingle,PH,2020-08-29 17:38:30,11.0,122.67,75.25,87,100,1.9
103,Pimentel,PE,2020-08-29 17:38:30,-6.84,-79.93,71.6,60,70,13.87
104,East London,ZA,2020-08-29 17:38:30,-33.02,27.91,55.4,62,45,25.28
105,Lata,PT,2020-08-29 17:33:51,40.16,-8.33,75.0,65,0,8.99
106,Arraial Do Cabo,BR,2020-08-29 17:33:12,-22.97,-42.03,82.4,65,0,18.34
107,Rustenburg,ZA,2020-08-29 17:35:16,-25.67,27.24,68.86,24,78,7.34
108,Nikolskoye,RU,2020-08-29 17:35:04,59.7,30.79,59.0,82,75,6.71
109,Ribeira Grande,PT,2020-08-29 17:38:31,38.52,-28.7,78.8,83,40,12.75
110,Nanortalik,GL,2020-08-29 17:38:31,60.14,-45.24,52.45,66,91,9.8
111,Lebu,CL,2020-08-29 17:36:28,-37.62,-73.65,48.92,60,1,15.41
112,Biltine,TD,2020-08-29 17:35:49,14.53,20.92,86.25,57,12,6.55
113,New Norfolk,AU,2020-08-29 17:31:30,-42.78,147.06,51.01,58,89,1.01
114,Carnarvon,AU,2020-08-29 17:36:23,-24.87,113.63,62.6,72,0,13.87
115,Aksu,CN,2020-08-29 17:34:02,41.12,80.26,71.42,33,0,4.59
116,San Juan De Los Morros,VE,2020-08-29 17:38:31,9.91,-67.35,83.39,69,23,0.6
117,Pisco,PE,2020-08-29 17:38:31,-13.7,-76.22,63.0,82,90,6.93
118,Dikson,RU,2020-08-29 17:35:08,73.51,80.55,43.27,99,100,10.45
119,Chilon,MX,2020-08-29 17:38:32,17.23,-92.42,86.0,74,20,6.93
120,Labuhan,ID,2020-08-29 17:38:32,-6.88,112.21,77.5,77,65,7.27
121,Cidreira,BR,2020-08-29 17:38:32,-30.18,-50.21,71.92,68,82,8.1
122,Dawei,MM,2020-08-29 17:38:32,14.08,98.2,77.14,90,66,1.48
123,Sirsaganj,IN,2020-08-29 17:38:32,27.05,78.7,81.34,81,42,7.9
124,San Rafael,AR,2020-08-29 17:38:32,-34.62,-68.33,55.98,38,0,7.78
125,San Jeronimo,PE,2020-08-29 17:38:32,-11.95,-75.28,67.08,26,5,4.32
126,Yaan,NG,2020-08-29 17:38:33,7.38,8.57,74.79,92,72,2.66
127,Sao Joao Da Barra,BR,2020-08-29 17:38:33,-21.64,-41.05,82.4,58,0,20.8
128,Saldanha,ZA,2020-08-29 17:36:27,-33.01,17.94,46.4,70,14,5.82
129,Forrest City,US,2020-08-29 17:38:33,35.01,-90.79,84.99,83,90,3.36
130,Beringovskiy,RU,2020-08-29 17:32:33,63.05,179.32,50.29,88,100,18.88
131,Markova,UA,2020-08-29 17:38:33,48.68,24.41,78.8,61,1,4.47
132,Areosa,PT,2020-08-29 17:38:33,41.72,-8.86,70.0,60,20,13.87
133,Sao Filipe,CV,2020-08-29 17:35:06,14.9,-24.5,81.09,76,89,5.3
134,Kandrian,PG,2020-08-29 17:38:34,-6.22,149.55,76.24,90,47,9.4
135,Chapais,CA,2020-08-29 17:33:47,49.78,-74.85,55.4,62,90,9.17
136,Baruun-Urt,MN,2020-08-29 17:38:34,46.68,113.28,53.96,86,99,11.63
137,Doka,SD,2020-08-29 17:38:34,13.52,35.77,73.06,92,100,6.38
138,Tevaitoa,PF,2020-08-29 17:38:34,-16.78,-151.5,77.77,80,31,26.93
139,Sterling,US,2020-08-29 17:36:14,39.01,-77.43,79.0,88,90,6.93
140,Mahebourg,MU,2020-08-29 17:36:43,-20.41,57.7,71.6,73,75,14.99
141,Kununurra,AU,2020-08-29 17:38:34,-15.77,128.73,62.6,24,14,9.51
142,Kodiak,US,2020-08-29 17:38:34,57.79,-152.41,55.4,76,75,12.75
143,Port Alfred,ZA,2020-08-29 17:36:25,-33.59,26.89,54.45,61,18,20.65
144,Ostersund,SE,2020-08-29 17:35:36,63.18,14.64,57.2,54,2,5.82
145,Haines Junction,CA,2020-08-29 17:38:35,60.75,-137.51,52.99,68,75,3.02
146,Constitucion,CL,2020-08-29 17:38:35,-35.33,-72.42,55.62,66,17,12.66
147,Bethel,US,2020-08-29 17:36:37,41.37,-73.41,75.2,88,90,6.93
148,Middelburg,ZA,2020-08-29 17:38:35,-25.78,29.46,62.44,41,86,5.03
149,Angoche,MZ,2020-08-29 17:38:35,-16.23,39.91,75.25,77,68,16.2
150,Halifax,CA,2020-08-29 17:37:26,44.65,-63.57,72.0,45,100,5.01
151,Taoudenni,ML,2020-08-29 17:38:36,22.68,-3.98,105.44,22,26,21.9
152,Nome,US,2020-08-29 17:38:36,64.5,-165.41,55.4,76,75,11.41
153,Alofi,NU,2020-08-29 17:32:20,-19.06,-169.92,73.4,78,74,8.05
154,Aklavik,CA,2020-08-29 17:38:36,68.22,-135.01,44.6,93,40,5.82
155,Matay,EG,2020-08-29 17:38:36,28.42,30.78,88.95,21,0,7.4
156,Umm Kaddadah,SD,2020-08-29 17:38:36,13.6,26.69,86.59,44,48,3.98
157,Saint-Philippe,RE,2020-08-29 17:35:20,-21.36,55.77,71.6,73,20,12.75
158,Cherskiy,RU,2020-08-29 17:38:36,68.75,161.3,37.09,95,94,4.45
159,Niquero,CU,2020-08-29 17:38:37,20.04,-77.58,85.33,76,24,3.76
160,Te Anau,NZ,2020-08-29 17:34:09,-45.42,167.72,47.89,83,97,7.63
